Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
9.30,0.972222,0.966840
9.31,0.972222,0.967477
9.32,0.972222,0.967907
9.33,0.972222,0.968168
9.34,0.972222,0.969379
9.35,0.972222,0.970209
9.36,0.972222,0.969669
9.37,0.972222,0.969420
9.38,0.972222,0.969857
9.39,0.972222,0.970110
9.40,0.972222,0.970363
9.41,0.972222,0.970405
9.42,0.972222,0.971192
9.43,0.972222,0.970204
9.44,0.972222,0.971245
9.45,0.972222,0.970860
9.46,0.972222,0.970934
9.47,0.972222,0.971432
9.48,0.972222,0.971551
9.49,0.972222,0.971774
9.50,0.972222,0.970876
9.51,0.972222,0.971061
9.52,0.972222,0.971244
9.53,0.972222,0.971992
9.54,0.972222,0.972521
9.55,0.972222,0.972729
9.56,0.972222,0.973295
9.57,0.972222,0.974473
9.58,0.972222,0.973059
9.59,0.972222,0.972163
9.60,0.972222,0.970830
9.61,0.972222,0.971308
9.62,0.972222,0.970361
9.63,0.972222,0.970744
9.64,0.972222,0.972700
9.65,0.972222,0.972120
9.66,0.972222,0.972207
9.67,0.972222,0.971462
9.68,0.972222,0.970827
9.69,0.972222,0.972451
9.70,0.972222,0.972582
9.71,0.972222,0.973722
9.72,0.972222,0.972551
9.73,0.972222,0.973177
9.74,0.972222,0.972978
9.75,0.972222,0.971442
9.76,0.972222,0.971648
9.77,0.972222,0.971854
9.78,0.972222,0.971622
9.79,0.972222,0.973648
9.80,0.972222,0.972704
9.81,0.972222,0.972117
9.82,0.972222,0.972883
9.83,0.972222,0.972834
